player_id,player_name,first_name,last_name,salary
1,Alex Abrines,Alex,Abrines,3667645
2,Quincy Acy,Quincy,Acy,213948
3,Steven Adams,Steven,Adams,24157304
4,Jaylen Adams,Jaylen,Adams,236854
5,Bam Adebayo,Bam,Adebayo,2955840
6,Deng Adel,Deng,Adel,77250
7,Alexis Ajinca,Alexis,Ajinca,5285394
8,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,77250
9,Cole Aldrich,Cole,Aldrich,2000000
10,LaMarcus Aldridge,LaMarcus,Aldridge,22347015
11,Rawle Alkins,Rawle,Alkins,77250
12,Grayson Allen,Grayson,Allen,2076960
13,Jarrett Allen,Jarrett,Allen,2034120
14,Kadeem Allen,Kadeem,Allen,77250
15,Al-Farouq Aminu,Al-Farouq,Aminu,6957105
16,Ryan Anderson,Ryan,Anderson,20421546
17,Kyle Anderson,Kyle,Anderson,8641000
18,Justin Anderson,Justin,Anderson,2516047
19,Ike Anigbogu,Ike,Anigbogu,1349383
20,Giannis Antetokounmpo,Giannis,Antetokounmpo,24157304
21,Kostas Antetokounmpo,Kostas,Antetokounmpo,77250
22,Carmelo Anthony,Carmelo,Anthony,2393887
23,OG Anunoby,OG,Anunoby,1952760
24,Ryan Arcidiacono,Ryan,Arcidiacono,1349383
25,Trevor Ariza,Trevor,Ariza,15000000
26,Darrell Arthur,Darrell,Arthur,7464912
27,Omer Asik,Omer,Asik,11286516
28,DJ Augustin,DJ,Augustin,7250000
29,Deandre Ayton,Deandre,Ayton,8175840
30,Dwayne Bacon,Dwayne,Bacon,1378242
31,Marvin Bagley,Marvin,Bagley,7314960
32,Ron Baker,Ron,Baker,4697823
33,Wade Baldwin,Wade,Baldwin,1544951
34,Lonzo Ball,Lonzo,Ball,7461960
35,Mo Bamba,Mo,Bamba,4871280
36,Harrison Barnes,Harrison,Barnes,24107258
37,Will Barton,Will,Barton,11830358
38,Keita Bates-Diop,Keita,Bates-Diop,838464
39,Nicolas Batum,Nicolas,Batum,24000000
40,Jerryd Bayless,Jerryd,Bayless,8575916
41,Aron Baynes,Aron,Baynes,5193600
42,Kent Bazemore,Kent,Bazemore,18089888
43,Bradley Beal,Bradley,Beal,25434262
44,Michael Beasley,Michael,Beasley,3500000
45,Malik Beasley,Malik,Beasley,1773840
46,Marco Belinelli,Marco,Belinelli,6153846
47,Jordan Bell,Jordan,Bell,1378242
48,DeAndre Bembry,DeAndre,Bembry,1634640
49,Dragan Bender,Dragan,Bender,4661280
50,Davis Bertans,Davis,Bertans,7000000
51,Dairis Bertans,Dairis,Bertans,194220
52,Patrick Beverley,Patrick,Beverley,5027028
53,Justin Bibbs,Justin,Bibbs,92159
54,Khem Birch,Khem,Birch,1378242
55,Jabari Bird,Jabari,Bird,1349383
56,Bismack Biyombo,Bismack,Biyombo,17000000
57,Nemanja Bjelica,Nemanja,Bjelica,6500000
58,Antonio Blakeney,Antonio,Blakeney,1349383
59,Eric Bledsoe,Eric,Bledsoe,15000000
60,Jaron Blossomgame,Jaron,Blossomgame,77250
61,Trevon Bluiett,Trevon,Bluiett,77250
62,Bojan Bogdanovic,Bojan,Bogdanovic,10500000
63,Bogdan Bogdanovic,Bogdan,Bogdanovic,9000000
64,Andrew Bogut,Andrew,Bogut,486892
65,Jonah Bolden,Jonah,Bolden,1690000
66,Isaac Bonga,Isaac,Bonga,1000000
67,Devin Booker,Devin,Booker,3314365
68,Chris Bosh,Chris,Bosh,26837720
69,Chris Boucher,Chris,Boucher,457418
70,Avery Bradley,Avery,Bradley,12000000
71,Tony Bradley,Tony,Bradley,1679520
72,Corey Brewer,Corey,Brewer,2559925
73,Mikal Bridges,Mikal,Bridges,3557400
74,Miles Bridges,Miles,Bridges,3206640
75,Isaiah Briscoe,Isaiah,Briscoe,838464
76,Ryan Broekhoff,Ryan,Broekhoff,838464
77,Malcolm Brogdon,Malcolm,Brogdon,1544951
78,MarShon Brooks,MarShon,Brooks,1656092
79,Dillon Brooks,Dillon,Brooks,1378242
80,Jaylen Brown,Jaylen,Brown,5169960
81,Troy Brown,Troy,Brown,2752680
82,Sterling Brown,Sterling,Brown,1378242
83,Bruce Brown,Bruce,Brown,838464
84,Lorenzo Brown,Lorenzo,Brown,800000
85,Jalen Brunson,Jalen,Brunson,1230000
86,Thomas Bryant,Thomas,Bryant,1378242
87,Reggie Bullock,Reggie,Bullock,2500000
88,Trey Burke,Trey,Burke,1795015
89,Alec Burks,Alec,Burks,11536515
90,Deonte Burton,Deonte,Burton,500000
91,Jimmy Butler,Jimmy,Butler,19841627
92,Bruno Caboclo,Bruno,Caboclo,705361
93,Jose Calderon,Jose,Calderon,2393887
94,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,12000000
95,Isaiah Canaan,Isaiah,Canaan,744671
